cause_category,source_group,repo_name,metric,rows,total_abs_diff,mean_diff,median_abs_diff,max_abs_diff,positive_diff_rows,negative_diff_rows,paper_mean,our_mean
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,bugs,16,33543.0,-2096.4375,2086.0,3864.0,0,16,3173.5625,1077.125
source_scope_difference_or_mixed,treatment,getsentry/sentry,bugs,17,7547.0,-443.94117647058823,424.0,675.0,0,17,832.7647058823529,388.8235294117647
rule_config_analyzer_profile_signal,control,jacebrowning/datafiles,bugs,12,4049.0,-337.4166666666667,338.0,338.0,0,12,339.4166666666667,2.0
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,bugs,20,3805.0,-190.25,186.5,207.0,0,20,257.25,67.0
source_scope_difference_or_mixed,treatment,terryyin/lizard,bugs,12,3444.0,287.0,287.0,287.0,12,0,108.5,395.5
paper_commit_missing,control,jacebrowning/datafiles,bugs,7,2360.0,-337.14285714285717,337.0,338.0,0,7,339.14285714285717,2.0
source_scope_difference_or_mixed,treatment,ethyca/fides,bugs,20,1801.0,-90.05,88.0,119.0,0,20,149.3,59.25
commit_selection_difference,treatment,zauberzeug/nicegui,bugs,1,1732.0,-1732.0,1732.0,1732.0,0,1,2204.0,472.0
paper_commit_missing,treatment,terryyin/lizard,bugs,5,1435.0,287.0,287.0,287.0,5,0,107.0,394.0
source_scope_difference_or_mixed,control,microsoft/AzureTRE,bugs,19,674.0,35.473684210526315,35.0,41.0,19,0,72.73684210526316,108.21052631578948
commit_selection_difference,treatment,Hankanman/Area-Occupancy-Detection,bugs,9,603.0,-67.0,30.0,231.0,0,9,69.88888888888889,2.888888888888889
source_scope_difference_or_mixed,treatment,PostHog/posthog,bugs,19,473.0,-21.736842105263158,15.0,103.0,4,15,279.7894736842105,258.05263157894734
paper_commit_missing,control,VirtualFlow/VFVS,bugs,18,342.0,-19.0,19.0,19.0,0,18,21.0,2.0
rule_config_analyzer_profile_signal,treatment,tmux-python/tmuxp,bugs,20,340.0,-17.0,17.0,17.0,0,20,34.0,17.0
source_scope_difference_or_mixed,control,PennyLaneAI/catalyst,bugs,12,309.0,-25.75,27.0,36.0,0,12,33.75,8.0
source_scope_difference_or_mixed,control,golemfoundation/octant,bugs,17,290.0,-17.058823529411764,17.0,25.0,0,17,51.0,33.94117647058823
rule_config_analyzer_profile_signal,control,PennyLaneAI/catalyst,bugs,7,259.0,-37.0,36.0,41.0,0,7,46.0,9.0
rule_config_analyzer_profile_signal,treatment,Kiln-AI/Kiln,bugs,11,255.0,-22.09090909090909,4.0,75.0,3,8,36.0,13.909090909090908
source_scope_difference_or_mixed,control,aio-libs/aiohttp,bugs,11,247.0,-22.454545454545453,20.0,32.0,0,11,28.272727272727273,5.818181818181818
paper_commit_missing,control,FMInference/FlexiGen,bugs,4,240.0,-60.0,60.0,60.0,0,4,278.0,218.0
rule_config_analyzer_profile_signal,control,FolhaSP/mosaico,bugs,7,218.0,-31.142857142857142,22.0,47.0,0,7,32.0,0.8571428571428571
source_scope_difference_or_mixed,control,thegreenwebfoundation/admin-portal,bugs,19,215.0,-11.31578947368421,11.0,13.0,0,19,30.31578947368421,19.0
rule_config_analyzer_profile_signal,treatment,trycua/cua,bugs,5,209.0,41.8,49.0,55.0,5,0,2.8,44.6
rule_config_analyzer_profile_signal,control,dymmond/edgy,bugs,17,205.0,-12.058823529411764,8.0,23.0,0,17,20.176470588235293,8.117647058823529
source_scope_difference_or_mixed,treatment,tsukumijima/KonomiTV,bugs,20,198.0,9.9,12.0,13.0,20,0,5.75,15.65
source_scope_difference_or_mixed,control,believethehype/nostrdvm,bugs,18,192.0,5.555555555555555,11.0,19.0,15,3,32.388888888888886,37.94444444444444
source_scope_difference_or_mixed,control,FMInference/FlexiGen,bugs,3,180.0,-60.0,60.0,60.0,0,3,278.0,218.0
source_scope_difference_or_mixed,treatment,TextGeneratorio/text-generator.io,bugs,15,174.0,-11.6,12.0,12.0,0,15,618.8666666666667,607.2666666666667
paper_commit_missing,treatment,wdm0006/elote,bugs,7,154.0,-22.0,25.0,25.0,0,7,24.428571428571427,2.4285714285714284
commit_selection_difference,treatment,Kiln-AI/Kiln,bugs,2,152.0,-76.0,76.0,77.0,0,2,98.0,22.0
source_scope_difference_or_mixed,treatment,airweave-ai/airweave,bugs,6,150.0,25.0,30.0,46.0,5,0,19.666666666666668,44.666666666666664
source_scope_difference_or_mixed,treatment,KroMiose/nekro-agent,bugs,14,133.0,9.5,8.5,23.0,13,0,4.071428571428571,13.571428571428571
source_scope_difference_or_mixed,treatment,OpenMOSS/Language-Model-SAEs,bugs,14,109.0,-7.785714285714286,3.0,23.0,0,14,15.285714285714286,7.5
source_scope_difference_or_mixed,control,MalevichAI/malevich,bugs,8,101.0,-12.625,13.0,13.0,0,8,21.25,8.625
rule_config_analyzer_profile_signal,treatment,instructor-ai/instructor,bugs,18,97.0,-5.055555555555555,2.5,39.0,2,16,19.27777777777778,14.222222222222221
rule_config_analyzer_profile_signal,control,stakewise/v3-operator,bugs,19,97.0,5.105263157894737,5.0,7.0,19,0,0.0,5.105263157894737
commit_selection_difference,treatment,airweave-ai/airweave,bugs,2,94.0,47.0,47.0,48.0,2,0,30.0,77.0
source_scope_difference_or_mixed,control,lancedb/lancedb,bugs,17,94.0,-5.529411764705882,4.0,11.0,0,17,10.882352941176471,5.352941176470588
source_scope_difference_or_mixed,treatment,LearningCircuit/local-deep-research,bugs,6,91.0,-12.833333333333334,3.5,53.0,2,3,26.5,13.666666666666666
paper_commit_missing,control,FolhaSP/mosaico,bugs,2,86.0,-43.0,43.0,43.0,0,2,44.0,1.0
commit_selection_difference,treatment,PostHog/posthog,bugs,1,80.0,-80.0,80.0,80.0,0,1,403.0,323.0
source_scope_difference_or_mixed,control,BalancerMaxis/multisig-ops,bugs,18,77.0,-4.277777777777778,4.0,6.0,0,18,7.611111111111111,3.3333333333333335
source_scope_difference_or_mixed,treatment,wdm0006/pygeohash,bugs,4,64.0,-16.0,16.0,16.0,0,4,22.0,6.0
paper_commit_missing,treatment,lss233/kirara-ai,bugs,9,63.0,7.0,7.0,7.0,9,0,14.0,21.0
rule_config_analyzer_profile_signal,control,aio-libs/aiohttp,bugs,9,62.0,-6.888888888888889,7.0,13.0,0,9,18.555555555555557,11.666666666666666
source_scope_difference_or_mixed,treatment,tw-haiven/haiven,bugs,15,59.0,-3.6666666666666665,4.0,7.0,2,11,19.466666666666665,15.8
commit_selection_difference,treatment,LearningCircuit/local-deep-research,bugs,1,58.0,-58.0,58.0,58.0,0,1,84.0,26.0
paper_commit_missing,control,Drchip61/Dual_SAM,bugs,7,56.0,-8.0,8.0,8.0,0,7,10.0,2.0
rule_config_analyzer_profile_signal,treatment,lss233/kirara-ai,bugs,7,55.0,7.857142857142857,9.0,14.0,6,0,4.714285714285714,12.571428571428571
paper_commit_missing,treatment,TextGeneratorio/text-generator.io,bugs,5,55.0,-11.0,11.0,11.0,0,5,625.0,614.0
source_scope_difference_or_mixed,treatment,wdm0006/elote,bugs,2,53.0,-26.5,26.5,28.0,0,2,26.5,0.0
commit_selection_difference,treatment,whiteducksoftware/flock,bugs,3,53.0,17.666666666666668,16.0,21.0,3,0,26.333333333333332,44.0
rule_config_analyzer_profile_signal,control,DakeQQ/YOLO-Depth-Estimation-for-Android,bugs,14,51.0,3.642857142857143,5.0,5.0,12,0,1.8571428571428572,5.5
commit_selection_difference,control,golemfoundation/octant,bugs,2,50.0,-25.0,25.0,25.0,0,2,61.0,36.0
rule_config_analyzer_profile_signal,treatment,cgevans/qslib,bugs,8,48.0,-6.0,6.0,6.0,0,8,17.375,11.375
source_scope_difference_or_mixed,treatment,keephq/keep,bugs,17,47.0,-2.764705882352941,2.0,9.0,0,15,44.0,41.23529411764706
source_scope_difference_or_mixed,control,HelpingAI/Webscout,bugs,9,47.0,5.222222222222222,5.0,7.0,9,0,15.11111111111111,20.333333333333332
source_scope_difference_or_mixed,control,odoo/industry,bugs,8,44.0,-5.5,1.0,28.0,0,8,90.375,84.875
source_scope_difference_or_mixed,treatment,OpenSPP/openspp-modules,bugs,18,44.0,-2.4444444444444446,0.0,16.0,0,3,98.27777777777777,95.83333333333333
commit_selection_difference,treatment,ericyuegu/hal,bugs,10,42.0,-3.8,0.5,21.0,2,3,14.1,10.3
paper_commit_missing,treatment,cgevans/qslib,bugs,5,42.0,-8.4,6.0,18.0,0,5,17.8,9.4
rule_config_analyzer_profile_signal,treatment,sirkirby/unifi-network-rules,bugs,9,42.0,4.666666666666667,2.0,11.0,5,0,0.4444444444444444,5.111111111111111
paper_commit_missing,control,microsoft/AzureTRE,bugs,1,41.0,41.0,41.0,41.0,1,0,70.0,111.0
commit_selection_difference,treatment,instructor-ai/instructor,bugs,1,39.0,-39.0,39.0,39.0,0,1,56.0,17.0
source_scope_difference_or_mixed,treatment,ericmjl/llamabot,bugs,19,39.0,-2.0526315789473686,0.0,12.0,0,9,5.2105263157894735,3.1578947368421053
commit_selection_difference,control,PennyLaneAI/catalyst,bugs,1,38.0,-38.0,38.0,38.0,0,1,47.0,9.0
paper_commit_missing,control,believethehype/nostrdvm,bugs,2,36.0,18.0,18.0,18.0,2,0,39.0,57.0
rule_config_analyzer_profile_signal,treatment,cohnen/mcp-google-ads,bugs,3,36.0,12.0,12.0,12.0,3,0,0.0,12.0
rule_config_analyzer_profile_signal,control,Event-AHU/OpenEvDET,bugs,6,36.0,6.0,6.0,8.0,6,0,6.333333333333333,12.333333333333334
commit_selection_difference,treatment,OpenMOSS/Language-Model-SAEs,bugs,3,35.0,-11.666666666666666,11.0,23.0,0,3,20.333333333333332,8.666666666666666
paper_commit_missing,control,dymmond/edgy,bugs,2,31.0,-15.5,15.5,23.0,0,2,24.0,8.5
rule_config_analyzer_profile_signal,control,HelpingAI/Webscout,bugs,9,29.0,3.2222222222222223,3.0,10.0,8,0,6.666666666666667,9.88888888888889
paper_commit_missing,control,PromtEngineer/localGPT,bugs,9,27.0,3.0,3.0,3.0,9,0,0.0,3.0
source_scope_difference_or_mixed,control,PromtEngineer/localGPT,bugs,9,27.0,3.0,3.0,3.0,9,0,0.0,3.0
source_scope_difference_or_mixed,control,daxa-ai/pebblo,bugs,13,26.0,-2.0,2.0,5.0,0,12,11.384615384615385,9.384615384615385
rule_config_analyzer_profile_signal,control,NVIDIA/cuEquivariance,bugs,9,25.0,-2.7777777777777777,1.0,5.0,0,9,18.22222222222222,15.444444444444445
source_scope_difference_or_mixed,treatment,yeagerai/genlayer-studio,bugs,14,25.0,1.6428571428571428,2.0,3.0,11,1,1.9285714285714286,3.5714285714285716
paper_commit_missing,treatment,cohnen/mcp-google-ads,bugs,2,24.0,12.0,12.0,12.0,2,0,0.0,12.0
rule_config_analyzer_profile_signal,control,Drchip61/Dual_SAM,bugs,3,24.0,-8.0,8.0,8.0,0,3,10.0,2.0
rule_config_analyzer_profile_signal,control,bropines/chrome-lens-py,bugs,10,24.0,2.4,0.0,8.0,4,0,0.7,3.1
paper_commit_missing,control,baaivision/EVE,bugs,9,24.0,-2.6666666666666665,0.0,6.0,0,4,7.0,4.333333333333333
source_scope_difference_or_mixed,control,dymmond/edgy,bugs,1,23.0,-23.0,23.0,23.0,0,1,30.0,7.0
commit_selection_difference,treatment,OpenSPP/openspp-modules,bugs,1,22.0,-22.0,22.0,22.0,0,1,27.0,5.0
rule_config_analyzer_profile_signal,control,MalevichAI/malevich,bugs,3,22.0,-7.333333333333333,5.0,12.0,0,3,16.333333333333332,9.0
rule_config_analyzer_profile_signal,treatment,wdm0006/git-pandas,bugs,6,22.0,-3.6666666666666665,3.0,10.0,0,3,6.166666666666667,2.5
rule_config_analyzer_profile_signal,treatment,yeagerai/genlayer-studio,bugs,4,22.0,-4.0,6.0,10.0,1,2,13.5,9.5
paper_commit_missing,control,bropines/chrome-lens-py,bugs,3,22.0,7.333333333333333,8.0,8.0,3,0,1.0,8.333333333333334
rule_config_analyzer_profile_signal,treatment,leettools-dev/leettools,bugs,5,22.0,-4.4,3.0,7.0,0,5,17.0,12.6
rule_config_analyzer_profile_signal,treatment,discus0434/nook,bugs,2,20.0,10.0,10.0,10.0,2,0,1.0,11.0
source_scope_difference_or_mixed,treatment,cgevans/qslib,bugs,5,20.0,-4.0,5.0,5.0,0,4,14.4,10.4
commit_selection_difference,treatment,yagami1997/TradeMind,bugs,6,20.0,-3.3333333333333335,4.0,4.0,0,5,16.833333333333332,13.5
paper_commit_missing,control,jfcrenshaw/pzflow,bugs,10,20.0,2.0,2.0,2.0,10,0,0.0,2.0
source_scope_difference_or_mixed,treatment,ResearchHub/researchhub-backend,bugs,20,20.0,-1.0,1.0,1.0,0,20,84.65,83.65
source_scope_difference_or_mixed,control,VirtualFlow/VFVS,bugs,1,19.0,-19.0,19.0,19.0,0,1,21.0,2.0
paper_commit_missing,control,daxa-ai/pebblo,bugs,5,19.0,-3.8,3.0,5.0,0,5,17.4,13.6
source_scope_difference_or_mixed,treatment,whiteducksoftware/flock,bugs,2,18.0,9.0,9.0,12.0,2,0,15.0,24.0
rule_config_analyzer_profile_signal,treatment,appl-team/appl,bugs,9,18.0,-2.0,2.0,2.0,0,9,26.0,24.0
rule_config_analyzer_profile_signal,control,dromara/domain-admin,bugs,18,18.0,-1.0,1.0,1.0,0,18,23.666666666666668,22.666666666666668
rule_config_analyzer_profile_signal,control,zhang-xr/FirmLLM,bugs,3,17.0,5.666666666666667,5.0,7.0,3,0,1.0,6.666666666666667
paper_commit_missing,treatment,wdm0006/pygeohash,bugs,6,16.0,-2.6666666666666665,0.0,16.0,0,1,3.6666666666666665,1.0
rule_config_analyzer_profile_signal,treatment,c4fun/tell-stories-webui,bugs,2,16.0,8.0,8.0,8.0,2,0,0.0,8.0
rule_config_analyzer_profile_signal,treatment,Chocksy/qc-options-framework,bugs,10,16.0,-1.6,0.0,4.0,0,4,4.1,2.5
rule_config_analyzer_profile_signal,treatment,VRSEN/agency-voice-interface,bugs,3,15.0,5.0,5.0,5.0,3,0,0.0,5.0
rule_config_analyzer_profile_signal,treatment,ilanbenb/wa_llm,bugs,8,14.0,1.75,2.0,2.0,8,0,0.0,1.75
rule_config_analyzer_profile_signal,treatment,Anemll/Anemll,bugs,5,13.0,-2.6,2.0,5.0,0,5,8.4,5.8
commit_selection_difference,treatment,cohnen/mcp-google-ads,bugs,1,12.0,12.0,12.0,12.0,1,0,0.0,12.0
rule_config_analyzer_profile_signal,control,baaivision/EVE,bugs,5,12.0,-2.4,0.0,6.0,0,2,6.6,4.2
rule_config_analyzer_profile_signal,treatment,raphaelmansuy/code2prompt,bugs,6,12.0,-2.0,2.0,4.0,0,3,2.5,0.5
source_scope_difference_or_mixed,treatment,utensils/mcp-nixos,bugs,4,12.0,-1.5,3.5,4.0,1,3,7.0,5.5
source_scope_difference_or_mixed,treatment,Aronnaxx/Behold-Urwar-Droid-Concepts,bugs,4,12.0,3.0,3.0,3.0,4,0,2.0,5.0
paper_commit_missing,treatment,Scrapybara/codecapy,bugs,6,12.0,2.0,2.0,2.0,6,0,0.0,2.0
commit_selection_difference,control,thegreenwebfoundation/admin-portal,bugs,1,11.0,-11.0,11.0,11.0,0,1,30.0,19.0
rule_config_analyzer_profile_signal,treatment,osomai/servicenow-mcp,bugs,5,11.0,2.2,0.0,11.0,1,0,0.0,2.2
source_scope_difference_or_mixed,treatment,trycua/cua,bugs,1,11.0,11.0,11.0,11.0,1,0,2.0,13.0
rule_config_analyzer_profile_signal,treatment,wdm0006/elote,bugs,3,11.0,-3.6666666666666665,4.0,4.0,0,3,20.333333333333332,16.666666666666668
commit_selection_difference,treatment,discus0434/nook,bugs,1,10.0,10.0,10.0,10.0,1,0,1.0,11.0
paper_commit_missing,control,DakeQQ/YOLO-Depth-Estimation-for-Android,bugs,2,10.0,5.0,5.0,5.0,2,0,2.0,7.0
rule_config_analyzer_profile_signal,control,zju3dv/ready_to_react,bugs,2,10.0,5.0,5.0,5.0,2,0,18.0,23.0
paper_commit_missing,treatment,yagami1997/CursorMind,bugs,5,10.0,2.0,2.0,2.0,5,0,0.0,2.0
paper_commit_missing,treatment,sirkirby/unifi-network-rules,bugs,2,9.0,4.5,4.5,9.0,1,0,0.5,5.0
rule_config_analyzer_profile_signal,treatment,tw-haiven/haiven,bugs,2,9.0,-4.5,4.5,5.0,0,2,23.5,19.0
paper_commit_missing,treatment,MDGrey33/pyvisionai,bugs,3,9.0,-3.0,3.0,3.0,0,3,7.0,4.0
rule_config_analyzer_profile_signal,control,vonssy/DreamerQuests-BOT,bugs,3,9.0,3.0,3.0,3.0,3,0,0.0,3.0
source_scope_difference_or_mixed,control,Benzauber/convert-commander,bugs,8,9.0,1.125,1.5,2.0,5,0,58.625,59.75
paper_commit_missing,control,Event-AHU/OpenEvDET,bugs,2,8.0,4.0,4.0,8.0,1,0,4.5,8.5
paper_commit_missing,treatment,Hankanman/Area-Occupancy-Detection,bugs,1,8.0,-8.0,8.0,8.0,0,1,9.0,1.0
paper_commit_missing,treatment,c4fun/tell-stories-webui,bugs,1,8.0,8.0,8.0,8.0,1,0,0.0,8.0
rule_config_analyzer_profile_signal,treatment,askjohngeorge/pipecat-lead-qualifier,bugs,2,8.0,4.0,4.0,5.0,2,0,0.0,4.0
commit_selection_difference,control,BalancerMaxis/multisig-ops,bugs,2,8.0,-4.0,4.0,4.0,0,2,7.0,3.0
