rule,type,severity,effort,example_message,category
Web:AvoidCommentedOutCodeCheck,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
Web:DoctypePresenceCheck,BUG,MAJOR,5min,Insert a <!DOCTYPE> declaration to before this <html> tag.,HTML Structure
Web:FrameWithoutTitleCheck,BUG,MINOR,5min,"Add a ""title"" attribute to this <iframe> tag.",Accessibility
Web:ImgWithoutAltCheck,CODE_SMELL,MINOR,5min,"Add an ""alt"" attribute to this image.",Accessibility
Web:ItemTagNotWithinContainerTagCheck,BUG,MINOR,10min,Surround this <li> item tag by a <ul> or <ol> container one.,HTML Structure
Web:MetaRefreshCheck,CODE_SMELL,MAJOR,20min,Remove this meta refresh tag.,HTML Structure
Web:MouseEventWithoutKeyboardEquivalentCheck,BUG,MINOR,5min,Add a 'onKeyPress|onKeyDown|onKeyUp' attribute to this <div> tag.,Accessibility
Web:PageWithoutTitleCheck,BUG,MAJOR,5min,Add a <title> tag to this page.,Accessibility
Web:S1134,CODE_SMELL,MAJOR,0min,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",Code Hygiene
Web:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
Web:S1827,CODE_SMELL,MAJOR,5min,"Remove this deprecated ""name"" attribute.",API Usage
Web:S4084,CODE_SMELL,MAJOR,5min,Add subtitles and description files for this video.,Accessibility
Web:S4645,BUG,MAJOR,2min,A </script> was found without a relating opening <script> tag. This may be caused by nested script tags.,HTML Structure
Web:S5254,BUG,MAJOR,2min,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",Accessibility
Web:S5255,CODE_SMELL,MAJOR,5min,"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element.",Accessibility
Web:S5256,BUG,MAJOR,2min,"Add ""<th>"" headers to this ""<table>"".",Accessibility
Web:S5257,CODE_SMELL,MAJOR,30min,Replace this layout table with a CSS layout.,Accessibility
Web:S6793,CODE_SMELL,MAJOR,5min,"The value of the attribute ""aria-invalid"" must be a single token from the following: true, false, spelling, grammar.",Accessibility
Web:S6807,CODE_SMELL,MAJOR,5min,"The attribute ""aria-checked"" is required by the role ""radio"".",Accessibility
Web:S6819,CODE_SMELL,MAJOR,5min,Use <progress> instead of the progressbar role to ensure accessibility across all devices.,Accessibility
Web:S6821,CODE_SMELL,MAJOR,5min,"Elements with ARIA roles must use a valid, non-abstract ARIA role. ""none"" is not a valid role.",Accessibility
Web:S6822,CODE_SMELL,MAJOR,5min,The element ul has an implicit role of list. Defining this explicitly is redundant and should be avoided.,Accessibility
Web:S6825,CODE_SMELL,MAJOR,5min,"aria-hidden=""true"" must not be set on focusable elements.",Accessibility
Web:S6827,CODE_SMELL,MINOR,5min,Anchors must have content and the content must be accessible by a screen reader.,Accessibility
Web:S6840,CODE_SMELL,MAJOR,5min,"DOM elements should use the ""autocomplete"" attribute correctly.",Accessibility
Web:S6841,CODE_SMELL,MAJOR,5min,"Avoid using positive values for the ""tabIndex"" attribute.",Accessibility
Web:S6842,CODE_SMELL,MAJOR,5min,Non-interactive elements should not be assigned interactive roles.,Accessibility
Web:S6843,CODE_SMELL,MAJOR,5min,Interactive elements should not be assigned non-interactive roles.,Accessibility
Web:S6844,CODE_SMELL,MAJOR,5min,Anchor tags should not be used as buttons.,Accessibility
Web:S6845,CODE_SMELL,MAJOR,5min,"""tabIndex"" should only be declared on interactive elements.",Accessibility
Web:S6846,CODE_SMELL,MAJOR,5min,No access key attribute allowed. Inconsistencies between keyboard shortcuts and keyboard commands used by screenreaders and keyboard-only users create a11y complications.,Accessibility
Web:S6847,CODE_SMELL,MAJOR,5min,Non-interactive elements should not be assigned mouse or keyboard event listeners.,Accessibility
Web:S6848,CODE_SMELL,MAJOR,5min,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",Accessibility
Web:S6850,CODE_SMELL,MAJOR,5min,Headings must have content and the content must be accessible by a screen reader.,Accessibility
Web:S6851,CODE_SMELL,MAJOR,5min,"Remove redundant word ""image"" from the ""alt"" attribute of your ""img"" tag.",Accessibility
Web:S6853,CODE_SMELL,MAJOR,5min,A form label must be associated with a control.,Accessibility
Web:TableHeaderHasIdOrScopeCheck,BUG,MAJOR,10min,Add either an 'id' or a 'scope' attribute to this <th> tag.,Accessibility
Web:UnsupportedTagsInHtml5Check,BUG,MAJOR,20min,"Remove this deprecated ""center"" element.",API Usage
azureresourcemanager:S1192,CODE_SMELL,CRITICAL,4min,"Define a variable instead of duplicating this literal ""/default"" 5 times.",Code Complexity
azureresourcemanager:S6874,CODE_SMELL,MAJOR,2min,Use a hard-coded value for the apiVersion of this resource.,Infrastructure
azureresourcemanager:S6975,CODE_SMELL,MAJOR,5min,Reorder the elements to match the recommended order.,Infrastructure
css:S1116,CODE_SMELL,MINOR,2min,Unexpected extra semicolon,Code Style
css:S125,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene
css:S4648,CODE_SMELL,MAJOR,1min,Unexpected duplicate name monospace,CSS Issues
css:S4649,BUG,MAJOR,1min,Unexpected missing generic font family,CSS Issues
css:S4650,BUG,BLOCKER,1min,"Expected an operator before sign ""-""",CSS Issues
css:S4651,BUG,CRITICAL,1min,Unexpected nonstandard direction,CSS Issues
css:S4653,BUG,BLOCKER,5min,"Unexpected unknown unit ""cdcfe""",CSS Issues
css:S4654,BUG,BLOCKER,5min,"Unexpected unknown property ""text-fill-color""",CSS Issues
css:S4656,BUG,MAJOR,1min,"Unexpected duplicate ""position""",CSS Issues
css:S4657,BUG,CRITICAL,5min,"Unexpected shorthand ""background"" after ""background-color""",CSS Issues
css:S4658,CODE_SMELL,MAJOR,1min,Unexpected empty block,Empty/Incomplete Code
css:S4659,BUG,MAJOR,1min,"Unexpected unknown pseudo-class selector "":open""",CSS Issues
css:S4660,BUG,MAJOR,1min,"Unexpected unknown pseudo-element selector ""::details-content""",CSS Issues
css:S4662,BUG,MAJOR,1min,"Unexpected unknown at-rule ""@custom-variant""",CSS Issues
css:S4666,CODE_SMELL,MAJOR,1min,"Unexpected duplicate selector ""body"", first used at line 12",CSS Issues
css:S4667,CODE_SMELL,MAJOR,1min,Unexpected empty source,Empty/Incomplete Code
css:S4670,BUG,CRITICAL,5min,"Unexpected unknown type selector ""sample""",CSS Issues
docker:S1135,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene
docker:S6437,VULNERABILITY,BLOCKER,1h,Change this code not to store a secret in the image.,Security
docker:S6476,CODE_SMELL,MAJOR,5min,"Replace ""as"" with upper case format ""AS"".",Infrastructure
docker:S6570,CODE_SMELL,MAJOR,5min,"Surround this variable with double quotes; otherwise, it can lead to unexpected behavior.",Infrastructure
docker:S6573,CODE_SMELL,MAJOR,5min,"Prefix files and paths with ""./"" or ""--"" when using glob.",Infrastructure
docker:S6579,BUG,MAJOR,5min,Include the ARG instruction in the build stage where it is used.,Infrastructure
docker:S6584,CODE_SMELL,MAJOR,5min,Add consent flag so that this command doesn't require user confirmation.,Infrastructure
docker:S6587,CODE_SMELL,MAJOR,5min,Remove cache after installing packages or store it in a cache mount.,Infrastructure
docker:S6589,BUG,MAJOR,5min,Remove this CMD instruction which will be ignored.,Infrastructure
docker:S6595,CODE_SMELL,MAJOR,5min,Update cache and install packages in single RUN instruction.,Infrastructure
docker:S6596,CODE_SMELL,MAJOR,5min,Use a specific version tag for the image.,Infrastructure
docker:S6597,CODE_SMELL,MAJOR,5min,"WORKDIR instruction should be used instead of ""cd"" command.",Infrastructure
docker:S7018,CODE_SMELL,MINOR,5min,Sort these package names alphanumerically.,Infrastructure
docker:S7019,CODE_SMELL,MAJOR,5min,Consider wrapping this instruction in a script file and call it with exec form.,Infrastructure
docker:S7020,CODE_SMELL,MINOR,2min,Split this RUN instruction line into multiple lines.,Infrastructure
docker:S7026,CODE_SMELL,MINOR,5min,"Replace this invocation of ""curl"" with the ADD instruction.",Infrastructure
docker:S7029,CODE_SMELL,MAJOR,5min,Replace this ADD instruction with a COPY instruction.,Infrastructure
docker:S7031,CODE_SMELL,MINOR,5min,Merge this RUN instruction with the consecutive ones.,Infrastructure
go:S100,CODE_SMELL,MINOR,5min,"Rename function ""Union__string_one__string_two__string_three__string_fourNewWithString_two"" to match the regular expression ^(_|[a-zA-Z0-9]+)$",Naming Conventions
go:S107,CODE_SMELL,MAJOR,20min,"This function has 8 parameters, which is greater than the 7 authorized.",Code Complexity
go:S108,CODE_SMELL,MAJOR,5min,Either remove or fill this block of code.,Error Handling
go:S1125,CODE_SMELL,MINOR,5min,Remove the unnecessary Boolean literal.,Code Style
go:S1134,CODE_SMELL,MAJOR,0min,"Take the required action to fix the issue indicated by this ""FIXME"" comment.",Code Hygiene
go:S1135,CODE_SMELL,INFO,0min,Complete the task associated to this TODO comment.,Code Hygiene
go:S117,CODE_SMELL,MINOR,2min,"Rename this local variable to match the regular expression ""^(_|[a-zA-Z0-9]+)$"".",Naming Conventions
go:S1186,CODE_SMELL,CRITICAL,5min,Add a nested comment explaining why this function is empty or complete the implementation.,Empty/Incomplete Code
go:S1192,CODE_SMELL,CRITICAL,6min,"Define a constant instead of duplicating this literal ""thanks for holding my coin"" 3 times.",Code Complexity
go:S1479,CODE_SMELL,MAJOR,30min,Reduce the number of switch branches from 31 to at most 30.,Code Complexity
go:S1763,BUG,MAJOR,5min,"Refactor this piece of code to not have any dead code after this ""return"".",Logic Error
go:S1764,BUG,MAJOR,2min,Correct one of the identical sub-expressions on both sides of this operator.,Logic Error
