dataset_source,repo_name,blob_commit,blob_relative_path,blob_revision_key,first_observed_time,last_observed_time,observed_roles,error_record_count,affected_commit_pairs,affected_repository_months,error_types,error_messages,treatment_group,is_treatment
control,BalancerMaxis/multisig-ops,32e8c67c1351327c4847271d98e864319d2484d9,action-scripts/merge_pr_jsons.py,control|BalancerMaxis/multisig-ops|32e8c67c1351327c4847271d98e864319d2484d9|action-scripts/merge_pr_jsons.py,2024-01,2024-01,current;parent,2,2,1,SyntaxError,"SyntaxError: closing parenthesis ')' does not match opening parenthesis '[' (merge_pr_jsons.py, line 226)",0,0
control,BalancerMaxis/multisig-ops,583ec77fd93298d8eec744df64bd900275055805,action-scripts/brownie/scripts/report_gauges.py,control|BalancerMaxis/multisig-ops|583ec77fd93298d8eec744df64bd900275055805|action-scripts/brownie/scripts/report_gauges.py,2024-03,2024-03,current,1,1,1,IndentationError,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)",0,0
control,BalancerMaxis/multisig-ops,ecd8e12b07ca3efdf04b8a0f61b9c71dc0c3ca52,action-scripts/brownie/scripts/report_gauges.py,control|BalancerMaxis/multisig-ops|ecd8e12b07ca3efdf04b8a0f61b9c71dc0c3ca52|action-scripts/brownie/scripts/report_gauges.py,2024-03,2024-03,parent,1,1,1,IndentationError,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)",0,0
control,BalancerMaxis/multisig-ops,0a05c635103abbd572f810e9af31452577123ff4,action-scripts/brownie/scripts/report_gauges.py,control|BalancerMaxis/multisig-ops|0a05c635103abbd572f810e9af31452577123ff4|action-scripts/brownie/scripts/report_gauges.py,2024-06,2024-06,current,1,1,1,IndentationError,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)",0,0
control,BalancerMaxis/multisig-ops,6efc1dc993b259097f576dc560574d302d1e2a47,action-scripts/brownie/scripts/report_gauges.py,control|BalancerMaxis/multisig-ops|6efc1dc993b259097f576dc560574d302d1e2a47|action-scripts/brownie/scripts/report_gauges.py,2024-06,2024-06,parent,1,1,1,IndentationError,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)",0,0
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,test_score.py,control|Drchip61/Dual_SAM|3efdae9483742dd2e2d63331ebdf67972492c9c7|test_score.py,2024-03,2024-03,current,1,1,1,IndentationError,"IndentationError: unindent does not match any outer indentation level (3efdae9483742dd2e2d63331ebdf67972492c9c7:test_score.py, line 60)",0,0
control,HelpingAI/Webscout,21db125b879af34de5ec9270cddaf460f56db62e,t.py,control|HelpingAI/Webscout|21db125b879af34de5ec9270cddaf460f56db62e|t.py,2024-08,2024-08,current;parent,2,2,1,SyntaxError,"SyntaxError: invalid syntax (21db125b879af34de5ec9270cddaf460f56db62e:t.py, line 1)",0,0
control,HelpingAI/Webscout,6e5ccec863de2c2deab4bcb0e55ba1566080f3a0,webscout/Provider/felo_search.py,control|HelpingAI/Webscout|6e5ccec863de2c2deab4bcb0e55ba1566080f3a0|webscout/Provider/felo_search.py,2024-08,2024-08,current;parent,2,2,1,SyntaxError,"SyntaxError: unmatched ')' (felo_search.py, line 231)",0,0
control,HelpingAI/Webscout,33d640de6112f627a17830e051a81db3ad071b0c,webscout/Provider/UNFINISHED/chatgptextension.py,control|HelpingAI/Webscout|33d640de6112f627a17830e051a81db3ad071b0c|webscout/Provider/UNFINISHED/chatgptextension.py,2024-09,2024-09,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (chatgptextension.py, line 70)",0,0
control,HelpingAI/Webscout,be481a3a4c846f64f294987be06ab8f71a417833,webscout/Provider/UNFINISHED/chatgptextension.py,control|HelpingAI/Webscout|be481a3a4c846f64f294987be06ab8f71a417833|webscout/Provider/UNFINISHED/chatgptextension.py,2024-09,2024-09,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (chatgptextension.py, line 70)",0,0
control,HelpingAI/Webscout,d62a6dd818a52207683edbcca1c380e9769c2c03,webscout/conversation.py,control|HelpingAI/Webscout|d62a6dd818a52207683edbcca1c380e9769c2c03|webscout/conversation.py,2024-12,2024-12,current;parent,2,2,1,SyntaxError,"SyntaxError: unterminated string literal (detected at line 243) (conversation.py, line 243)",0,0
control,HelpingAI/Webscout,bc5c64b7d79e7de9134acf45df16028e3ed5ec5c,webscout/Provider/typegpt.py,control|HelpingAI/Webscout|bc5c64b7d79e7de9134acf45df16028e3ed5ec5c|webscout/Provider/typegpt.py,2025-03,2025-03,parent,1,1,1,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)",0,0
control,HelpingAI/Webscout,db89ef1313db2864a1ea158bdf7dac34dad1ca50,webscout/Provider/typegpt.py,control|HelpingAI/Webscout|db89ef1313db2864a1ea158bdf7dac34dad1ca50|webscout/Provider/typegpt.py,2025-03,2025-03,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)",0,0
control,HelpingAI/Webscout,df142e261d8c9ed4bdb1330a7f07ba064873be65,webscout/Provider/typegpt.py,control|HelpingAI/Webscout|df142e261d8c9ed4bdb1330a7f07ba064873be65|webscout/Provider/typegpt.py,2025-03,2025-03,current,1,1,1,SyntaxError,"SyntaxError: invalid syntax (typegpt.py, line 3)",0,0
control,HelpingAI/Webscout,b79f0684fd7af82338e989430d77633e0bc8fa07,webscout/Provider/OPENAI/BLACKBOXAI.py,control|HelpingAI/Webscout|b79f0684fd7af82338e989430d77633e0bc8fa07|webscout/Provider/OPENAI/BLACKBOXAI.py,2025-05,2025-05,current,1,1,1,IndentationError,"IndentationError: expected an indented block after 'try' statement on line 298 (BLACKBOXAI.py, line 300)",0,0
